2026-06-28 13:00:24 | INFO | TakeProfitManager | [STABLEUSDT] SHORT Take profit LIMIT order placed successfully! ID: 925205571
2026-06-28 13:09:56 | INFO | TakeProfitManager | [SOLUSDT] LONG Canceling old limit orders before placing new TP...
2026-06-28 13:09:56 | INFO | TakeProfitManager | [SOLUSDT] SHORT Canceling old limit orders before placing new TP...
2026-06-28 13:09:56 | INFO | TakeProfitManager | [SOLUSDT] Placing LONG take profit limit order at 71.74. Vol: 0.36 (Attempt 1/3)
2026-06-28 13:09:56 | INFO | TakeProfitManager | [SOLUSDT] Placing SHORT take profit limit order at 70.87. Vol: 0.36 (Attempt 1/3)
2026-06-28 13:09:56 | INFO | TakeProfitManager | [SOLUSDT] LONG Take profit LIMIT order placed successfully! ID: 223445512437
2026-06-28 13:09:56 | INFO | TakeProfitManager | [SOLUSDT] SHORT Take profit LIMIT order placed successfully! ID: 223445512495
2026-06-28 13:40:44 | INFO | TakeProfitManager | [STABLEUSDT] LONG Canceling old limit orders before placing new TP...
2026-06-28 13:40:45 | INFO | TakeProfitManager | [STABLEUSDT] Placing LONG take profit limit order at 0.03807. Vol: 1029.0 (Attempt 1/3)
2026-06-28 13:40:45 | INFO | TakeProfitManager | [STABLEUSDT] LONG Take profit LIMIT order placed successfully! ID: 925245581
2026-06-28 13:59:55 | INFO | TakeProfitManager | [STABLEUSDT] LONG Canceling old limit orders before placing new TP...
2026-06-28 13:59:55 | INFO | TakeProfitManager | [STABLEUSDT] Placing LONG take profit limit order at 0.03825. Vol: 1023.0 (Attempt 1/3)
2026-06-28 13:59:56 | INFO | TakeProfitManager | [STABLEUSDT] LONG Take profit LIMIT order placed successfully! ID: 925294345
2026-06-28 14:04:55 | INFO | TakeProfitManager | [SOLUSDT] LONG Canceling old limit orders before placing new TP...
2026-06-28 14:04:56 | INFO | TakeProfitManager | [SOLUSDT] Placing LONG take profit limit order at 72.14. Vol: 0.36 (Attempt 1/3)
2026-06-28 14:04:56 | INFO | TakeProfitManager | [SOLUSDT] LONG Take profit LIMIT order placed successfully! ID: 223452554590
