2026-06-23 04:19:44 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:19:59 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:20:15 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:20:30 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:20:30 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:20:30 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:20:45 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:21:00 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:21:15 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:21:30 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:21:30 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:21:30 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:21:45 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:22:00 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:22:15 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:22:35 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:22:36 | DEBUG | FSM_Monitor | [MONITOR] UPDATE WIFUSDT LONG - qty: 121.7, avg_price: 0.1644
2026-06-23 04:22:36 | DEBUG | FSM_Monitor | [MONITOR] UPDATE WIFUSDT SHORT - qty: -121.7, avg_price: 0.1643
2026-06-23 04:22:36 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:22:36 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:22:38 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:22:53 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:23:08 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:23:23 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:23:38 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:23:39 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:23:39 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:23:53 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:24:09 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:24:24 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:24:39 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:24:39 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:24:39 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:24:54 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:25:09 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:25:24 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:25:39 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:25:39 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT LONG - qty: 552.0, avg_price: 0.03621
2026-06-23 04:25:39 | DEBUG | FSM_Monitor | [MONITOR] UPDATE STABLEUSDT SHORT - qty: -1107.0, avg_price: 0.0361035230353
2026-06-23 04:25:54 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:26:09 | INFO | FSM_Monitor | Fetching initial positions via REST API...
2026-06-23 04:26:24 | INFO | FSM_Monitor | Fetching initial positions via REST API...
