2026-06-30 05:55:21 | INFO | BotCore | [STABLEUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 05:55:21 | INFO | BotCore | [STABLEUSDT] SHORT Canceling all limit orders for this side
2026-06-30 05:55:21 | INFO | BotCore | [STABLEUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 05:55:21 | INFO | BotCore | [STABLEUSDT] Signal triggered for SHORT.
2026-06-30 05:55:21 | INFO | BotCore | [STABLEUSDT] Opening SHORT market order. Volume: 343.0
2026-06-30 05:55:27 | WARNING | BotCore | [STABLEUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 05:55:27 | INFO | BotCore | [STABLEUSDT] SHORT REST fallback applied! New avg_entry_price: 0.03774
2026-06-30 05:55:58 | INFO | BotCore | [STABLEUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 05:55:58 | INFO | BotCore | [STABLEUSDT] SHORT Canceling all limit orders for this side
2026-06-30 05:55:59 | INFO | BotCore | [STABLEUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 05:55:59 | INFO | BotCore | [STABLEUSDT] Signal triggered for SHORT.
2026-06-30 05:55:59 | INFO | BotCore | [STABLEUSDT] Opening SHORT market order. Volume: 346.0
2026-06-30 05:56:04 | WARNING | BotCore | [STABLEUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 05:56:04 | INFO | BotCore | [STABLEUSDT] SHORT REST fallback applied! New avg_entry_price: 0.03747
2026-06-30 05:56:30 | INFO | BotCore | [STABLEUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 05:56:30 | INFO | BotCore | [STABLEUSDT] SHORT Canceling all limit orders for this side
2026-06-30 05:59:50 | INFO | BotCore | [STABLEUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 05:59:50 | INFO | BotCore | [STABLEUSDT] Signal triggered for SHORT.
2026-06-30 05:59:50 | INFO | BotCore | [STABLEUSDT] Opening SHORT market order. Volume: 341.0
2026-06-30 05:59:55 | WARNING | BotCore | [STABLEUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 05:59:55 | INFO | BotCore | [STABLEUSDT] SHORT REST fallback applied! New avg_entry_price: 0.03795
2026-06-30 09:26:35 | INFO | BotCore | [XPLUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 09:26:35 | INFO | BotCore | [XPLUSDT] SHORT Canceling all limit orders for this side
2026-06-30 09:29:50 | INFO | BotCore | [XPLUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 09:29:50 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
2026-06-30 09:29:50 | INFO | BotCore | [XPLUSDT] Opening SHORT market order. Volume: 129.0
2026-06-30 09:29:55 | WARNING | BotCore | [XPLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 09:29:55 | INFO | BotCore | [XPLUSDT] SHORT REST fallback applied! New avg_entry_price: 0.1006
2026-06-30 10:42:26 | INFO | BotCore | [VVVUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-06-30 10:42:26 | INFO | BotCore | [VVVUSDT] LONG Canceling all limit orders for this side
2026-06-30 10:44:50 | INFO | BotCore | [VVVUSDT] LONG: Signal is TRUE! Entering position...
2026-06-30 10:44:50 | INFO | BotCore | [VVVUSDT] Signal triggered for LONG.
2026-06-30 10:44:50 | INFO | BotCore | [VVVUSDT] Opening LONG market order. Volume: 0.97
2026-06-30 10:44:55 | WARNING | BotCore | [VVVUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 10:44:55 | INFO | BotCore | [VVVUSDT] LONG REST fallback applied! New avg_entry_price: 13.33
2026-06-30 10:54:42 | INFO | BotCore | [VVVUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-06-30 10:54:42 | INFO | BotCore | [VVVUSDT] LONG Canceling all limit orders for this side
2026-06-30 10:54:50 | INFO | BotCore | [VVVUSDT] LONG: Signal is TRUE! Entering position...
2026-06-30 10:54:50 | INFO | BotCore | [VVVUSDT] Signal triggered for LONG.
2026-06-30 10:54:50 | INFO | BotCore | [VVVUSDT] Opening LONG market order. Volume: 0.97
2026-06-30 10:54:55 | WARNING | BotCore | [VVVUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 10:54:55 | INFO | BotCore | [VVVUSDT] LONG REST fallback applied! New avg_entry_price: 13.41
2026-06-30 11:05:21 | INFO | BotCore | [VVVUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-06-30 11:05:21 | INFO | BotCore | [VVVUSDT] LONG Canceling all limit orders for this side
2026-06-30 11:05:22 | INFO | BotCore | [VVVUSDT] LONG: Signal is TRUE! Entering position...
2026-06-30 11:05:22 | INFO | BotCore | [VVVUSDT] Signal triggered for LONG.
2026-06-30 11:05:22 | INFO | BotCore | [VVVUSDT] Opening LONG market order. Volume: 0.96
2026-06-30 11:05:27 | WARNING | BotCore | [VVVUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 11:05:27 | INFO | BotCore | [VVVUSDT] LONG REST fallback applied! New avg_entry_price: 13.478
2026-06-30 11:30:25 | INFO | BotCore | [XPLUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 11:30:25 | INFO | BotCore | [XPLUSDT] SHORT Canceling all limit orders for this side
2026-06-30 11:30:26 | INFO | BotCore | [XPLUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 11:30:26 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
2026-06-30 11:30:26 | INFO | BotCore | [XPLUSDT] Opening SHORT market order. Volume: 130.0
2026-06-30 11:30:31 | WARNING | BotCore | [XPLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 11:30:31 | INFO | BotCore | [XPLUSDT] SHORT REST fallback applied! New avg_entry_price: 0.10011999999999999
2026-06-30 11:31:17 | INFO | BotCore | [XPLUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 11:31:17 | INFO | BotCore | [XPLUSDT] SHORT Canceling all limit orders for this side
2026-06-30 11:34:50 | INFO | BotCore | [XPLUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 11:34:50 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
2026-06-30 11:34:50 | INFO | BotCore | [XPLUSDT] Opening SHORT market order. Volume: 130.0
2026-06-30 11:34:55 | WARNING | BotCore | [XPLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 11:34:55 | INFO | BotCore | [XPLUSDT] SHORT REST fallback applied! New avg_entry_price: 0.09953
2026-06-30 12:17:37 | INFO | BotCore | [XPLUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 12:17:37 | INFO | BotCore | [XPLUSDT] SHORT Canceling all limit orders for this side
2026-06-30 12:19:50 | INFO | BotCore | [XPLUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 12:19:50 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
2026-06-30 12:19:50 | INFO | BotCore | [XPLUSDT] Opening SHORT market order. Volume: 131.0
2026-06-30 12:19:55 | WARNING | BotCore | [XPLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 12:19:55 | INFO | BotCore | [XPLUSDT] SHORT REST fallback applied! New avg_entry_price: 0.09921999999999999
2026-06-30 12:52:59 | INFO | BotCore | [DASHUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-06-30 12:52:59 | INFO | BotCore | [DASHUSDT] LONG Canceling all limit orders for this side
2026-06-30 12:54:50 | INFO | BotCore | [DASHUSDT] LONG: Signal is TRUE! Entering position...
2026-06-30 12:54:50 | INFO | BotCore | [DASHUSDT] Signal triggered for LONG.
2026-06-30 12:54:50 | INFO | BotCore | [DASHUSDT] Opening LONG market order. Volume: 0.389
2026-06-30 12:54:55 | WARNING | BotCore | [DASHUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 12:54:55 | INFO | BotCore | [DASHUSDT] LONG REST fallback applied! New avg_entry_price: 33.29
2026-06-30 13:48:54 | INFO | BotCore | [STABLEUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-06-30 13:48:54 | INFO | BotCore | [STABLEUSDT] LONG Canceling all limit orders for this side
2026-06-30 13:49:50 | INFO | BotCore | [STABLEUSDT] LONG: Signal is TRUE! Entering position...
2026-06-30 13:49:50 | INFO | BotCore | [STABLEUSDT] Signal triggered for LONG.
2026-06-30 13:49:50 | INFO | BotCore | [STABLEUSDT] Opening LONG market order. Volume: 331.0
2026-06-30 13:49:55 | WARNING | BotCore | [STABLEUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 13:49:55 | INFO | BotCore | [STABLEUSDT] LONG REST fallback applied! New avg_entry_price: 0.039189999999999996
2026-06-30 14:02:46 | INFO | BotCore | [STABLEUSDT] LONG is_finished. Running analytics and resetting runtime cache...
2026-06-30 14:02:46 | INFO | BotCore | [STABLEUSDT] LONG Canceling all limit orders for this side
2026-06-30 14:04:50 | INFO | BotCore | [STABLEUSDT] LONG: Signal is TRUE! Entering position...
2026-06-30 14:04:50 | INFO | BotCore | [STABLEUSDT] Signal triggered for LONG.
2026-06-30 14:04:50 | INFO | BotCore | [STABLEUSDT] Opening LONG market order. Volume: 329.0
2026-06-30 14:04:55 | WARNING | BotCore | [STABLEUSDT] LONG WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 14:04:55 | INFO | BotCore | [STABLEUSDT] LONG REST fallback applied! New avg_entry_price: 0.03936
2026-06-30 14:07:39 | INFO | BotCore | [XPLUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 14:07:39 | INFO | BotCore | [XPLUSDT] SHORT Canceling all limit orders for this side
2026-06-30 14:09:50 | INFO | BotCore | [XPLUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 14:09:50 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
2026-06-30 14:09:50 | INFO | BotCore | [XPLUSDT] Opening SHORT market order. Volume: 131.0
2026-06-30 14:09:55 | WARNING | BotCore | [XPLUSDT] SHORT WS did not update avg_entry_price in time at start! Forcing REST fallback...
2026-06-30 14:09:56 | INFO | BotCore | [XPLUSDT] SHORT REST fallback applied! New avg_entry_price: 0.09867999999999999
2026-06-30 14:16:11 | INFO | BotCore | [XPLUSDT] SHORT is_finished. Running analytics and resetting runtime cache...
2026-06-30 14:16:11 | INFO | BotCore | [XPLUSDT] SHORT Canceling all limit orders for this side
2026-06-30 14:19:50 | INFO | BotCore | [XPLUSDT] SHORT: Signal is TRUE! Entering position...
2026-06-30 14:19:50 | INFO | BotCore | [XPLUSDT] Signal triggered for SHORT.
