Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
SOLUSDT;SHORT;2026-06-28 08:28:20;2026-06-28 08:28:20;1.8589;9058.2733
STABLEUSDT;SHORT;2026-06-28 08:53:41;2026-06-28 08:53:41;1.2361;9059.5094
DASHUSDT;SHORT;2026-06-28 09:12:07;2026-06-28 09:12:07;2.3173;9061.8267
JUPUSDT;SHORT;2026-06-28 09:17:44;2026-06-28 09:17:44;1.5240;9063.3506
STABLEUSDT;LONG;2026-06-28 09:32:26;2026-06-28 09:32:28;2.8208;9066.1714
STABLEUSDT;SHORT;2026-06-28 09:47:56;2026-06-28 09:47:56;1.2251;9067.3965
STABLEUSDT;SHORT;2026-06-28 13:00:17;2026-06-28 13:00:17;1.2758;9068.6723
STABLEUSDT;LONG;2026-06-28 13:40:37;2026-06-28 13:40:37;1.2199;9069.8922
STABLEUSDT;LONG;2026-06-28 13:56:23;2026-06-28 13:56:24;1.2223;9071.1145
DASHUSDT;SHORT;2026-06-28 15:16:54;2026-06-28 15:16:54;2.2147;9073.3292
JUPUSDT;SHORT;2026-06-28 06:20:00;2026-06-28 14:38:00;1.4104;9020.5508
STABLEUSDT;SHORT;2026-06-28 10:00:18;2026-06-28 16:32:14;2.3844;9021.6358
DASHUSDT;SHORT;2026-06-28 12:20:00;2026-06-28 19:38:47;2.0726;9009.9139
SOLUSDT;SHORT;2026-06-28 05:30:00;2026-06-28 22:53:26;1.7023;8989.1008
JUPUSDT;LONG;2026-06-27 22:40:00;2026-06-29 03:11:28;3.5709;9038.963
STABLEUSDT;LONG;2026-06-28 11:00:00;2026-06-29 07:30:14;8.4402;9078.7739
DASHUSDT;LONG;2026-06-26 20:25:01;2026-06-29 07:35:50;-15.6094;9080.1115
SOLUSDT;LONG;2026-06-27 15:10:57;2026-06-29 07:35:53;-1.6071;9078.5044
