Id;Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
41;STABLEUSDT;SYNC;2026-06-27 15:47:22;2026-06-27 15:47:22;0.6534;9024.9676
42;STABLEUSDT;SYNC;2026-06-27 15:52:30;2026-06-27 15:52:30;0.5977;9025.5651
43;STABLEUSDT;SYNC;2026-06-27 15:52:31;2026-06-27 15:52:31;0.0658;9025.6309
44;STABLEUSDT;SYNC;2026-06-27 16:09:53;2026-06-27 16:09:53;0.6615;9026.2923
45;SOLUSDT;SYNC;2026-06-27 18:10:56;2026-06-27 18:10:56;1.2816;9027.5738
46;STABLEUSDT;SYNC;2026-06-27 19:01:12;2026-06-27 19:01:12;3.2851;9030.8657
47;STABLEUSDT;SYNC;2026-06-27 20:49:09;2026-06-27 20:49:09;0.7919;9031.6574
48;STABLEUSDT;SYNC;2026-06-27 21:16:30;2026-06-27 21:16:30;1.8959;9033.553
49;BNBUSDT;SYNC;2026-06-27 22:25:01;2026-06-27 22:25:01;1.5548;9035.1077
50;SOLUSDT;SYNC;2026-06-27 22:25:02;2026-06-27 22:25:02;1.5566;9036.6642
51;DASHUSDT;SYNC;2026-06-27 22:25:09;2026-06-27 22:25:09;1.5406;9038.2043
52;STABLEUSDT;SYNC;2026-06-27 23:15:36;2026-06-27 23:15:36;0.6511;9038.8546
53;DASHUSDT;SYNC;2026-06-28 00:39:59;2026-06-28 00:39:59;0.8198;9039.6743
54;DASHUSDT;SYNC;2026-06-28 00:39:59;2026-06-28 00:39:59;0.7304;9040.4047
55;DASHUSDT;SYNC;2026-06-28 00:51:50;2026-06-28 00:51:50;0.0718;9040.476
56;DASHUSDT;SYNC;2026-06-28 00:51:50;2026-06-28 00:51:50;0.4574;9040.9334
57;DASHUSDT;SYNC;2026-06-28 00:51:52;2026-06-28 00:51:52;0.3396;9041.273
58;DASHUSDT;SYNC;2026-06-28 00:51:53;2026-06-28 00:51:53;0.0358;9041.3087
59;DASHUSDT;SYNC;2026-06-28 00:51:53;2026-06-28 00:51:53;0.3576;9041.6663
60;DASHUSDT;SYNC;2026-06-28 00:51:54;2026-06-28 00:51:54;0.2974;9041.9637
61;BNBUSDT;SYNC;2026-06-28 00:52:24;2026-06-28 00:52:24;1.5456;9043.5093
62;SOLUSDT;SYNC;2026-06-28 01:02:45;2026-06-28 01:02:45;1.5695;9045.0787
63;BNBUSDT;SYNC;2026-06-28 01:05:27;2026-06-28 01:05:27;-4.6046;9040.473
64;XAGUSDT;SYNC;2026-06-28 01:05:31;2026-06-28 01:05:31;-1.0138;9039.4589
65;XAGUSDT;SYNC;2026-06-28 01:05:33;2026-06-28 01:05:33;-0.875;9038.5838
66;SOLUSDT;SYNC;2026-06-28 01:16:34;2026-06-28 01:16:34;1.925;9040.5086
67;DASHUSDT;SYNC;2026-06-28 01:16:40;2026-06-28 01:16:40;2.355;9042.8635
68;JUPUSDT;SYNC;2026-06-28 01:37:02;2026-06-28 01:37:02;1.534;9044.3967
